OS visitors: # in Thousands (NSA),UK visitors: # in Thousands (NSA),Month,Year
739,823,1,1980
602,780,2,1980
740,1058,3,1980
1028,1397,4,1980
1088,1438,5,1980
1124,1821,6,1980
1699,1950,7,1980
1839,2777,8,1980
1200,2258,9,1980
963,1509,10,1980
755,1004,11,1980
642,690,12,1980
695,833,1,1981
540,818,2,1981
685,1067,3,1981
962,1521,4,1981
1007,1559,5,1981
1039,1828,6,1981
1430,2177,7,1981
1650,3143,8,1981
1181,2547,9,1981
954,1812,10,1981
689,1006,11,1981
619,737,12,1981
789,962,1,1982
578,872,2,1982
646,1106,3,1982
1071,1671,4,1982
1034,1524,5,1982
1069,2261,6,1982
1471,2247,7,1982
1629,3268,8,1982
1155,2741,9,1982
943,2018,10,1982
661,1087,11,1982
592,854,12,1982
723,947,1,1983
550,875,2,1983
740,1156,3,1983
1023,1616,4,1983
988,1646,5,1983
1189,2142,6,1983
1697,2677,7,1983
1748,3187,8,1983
1269,2711,9,1983
1051,2027,10,1983
796,1098,11,1983
690,912,12,1983
745,1035,1,1984
580,885,2,1984
828,1336,3,1984
1170,1717,4,1984
1096,1828,5,1984
1316,2436,6,1984
1763,2480,7,1984
2011,3150,8,1984
1406,2968,9,1984
1093,2054,10,1984
882,1235,11,1984
752,950,12,1984
817,1043,1,1985
652,872,2,1985
867,1365,3,1985
1208,1644,4,1985
1282,1651,5,1985
1468,2288,6,1985
1819,2277,7,1985
2139,3150,8,1985
1447,2830,9,1985
1140,2050,10,1985
802,1424,11,1985
809,1014,12,1985
926,1129,1,1986
732,1004,2,1986
921,1572,3,1986
1028,1607,4,1986
1125,2116,5,1986
1167,2620,6,1986
1680,2865,7,1986
2048,3740,8,1986
1337,3318,9,1986
1195,2457,10,1986
910,1465,11,1986
828,1055,12,1986
1038,1305,1,1987
678,1292,2,1987
925,1644,3,1987
1315,2074,4,1987
1305,2391,5,1987
1427,2849,6,1987
1883,3148,7,1987
2228,4041,8,1987
1507,3462,9,1987
1348,2540,10,1987
948,1603,11,1987
963,1098,12,1987
1021,1406,1,1988
792,1384,2,1988
964,1679,3,1988
1324,2080,4,1988
1191,2133,5,1988
1498,3130,6,1988
1930,3326,7,1988
2084,3967,8,1988
1535,3729,9,1988
1366,3077,10,1988
1073,1695,11,1988
1021,1224,12,1988
1132,1724,1,1989
869,1627,2,1989
1336,2055,3,1989
1302,2211,4,1989
1388,2478,5,1989
1575,3263,6,1989
2071,3353,7,1989
2257,4392,8,1989
1633,3878,9,1989
1448,3006,10,1989
1183,1647,11,1989
1145,1398,12,1989
1184,1808,1,1990
968,1532,2,1990
1171,1925,3,1990
1411,2535,4,1990
1482,2468,5,1990
1644,3216,6,1990
2206,3392,7,1990
2309,4285,8,1990
1791,3799,9,1990
1524,3091,10,1990
1204,1884,11,1990
1123,1215,12,1990
1015,1695,1,1991
786,1429,2,1991
1035,2024,3,1991
1321,2703,4,1991
1474,2317,5,1991
1502,2896,6,1991
2007,3323,7,1991
2281,4301,8,1991
1724,3734,9,1991
1484,3072,10,1991
1299,1929,11,1991
1197,1386,12,1991
1200,1879,1,1992
966,1800,2,1992
1179,2391,3,1992
1648,2912,4,1992
1594,2993,5,1992
1655,3098,6,1992
2037,3645,7,1992
2430,4479,8,1992
1721,3937,9,1992
1483,3146,10,1992
1235,2075,11,1992
1385,1477,12,1992
1164,2047,1,1993
1153,1995,2,1993
1294,2572,3,1993
1724,2761,4,1993
1801,2968,5,1993
1697,3692,6,1993
2290,3845,7,1993
