Title,OS visitors Earnings: Mn £ (NSA),OS visitors Earnings: Mn £ (SA),OS visitors: # in Thousands (NSA),OS visitors: # in Thousands(SA),UK visitors Expenditure: Mn £ (NSA),UK visitors Expenditure: Mn £ (SA),UK visitors: # in Thousands (NSA),UK visitors: # in Thousands (SA)
1980 JAN,,,739,,,,823,
1980 FEB,,,602,,,,780,
1980 MAR,,,740,,,,1058,
1980 APR,,,1028,,,,1397,
1980 MAY,,,1088,,,,1438,
1980 JUN,,,1124,,,,1821,
1980 JUL,,,1699,,,,1950,
1980 AUG,,,1839,,,,2777,
1980 SEP,,,1200,,,,2258,
1980 OCT,,,963,,,,1509,
1980 NOV,,,755,,,,1004,
1980 DEC,,,642,,,,690,
1981 JAN,,,695,,,,833,
1981 FEB,,,540,,,,818,
1981 MAR,,,685,,,,1067,
1981 APR,,,962,,,,1521,
1981 MAY,,,1007,,,,1559,
1981 JUN,,,1039,,,,1828,
1981 JUL,,,1430,,,,2177,
1981 AUG,,,1650,,,,3143,
1981 SEP,,,1181,,,,2547,
1981 OCT,,,954,,,,1812,
1981 NOV,,,689,,,,1006,
1981 DEC,,,619,,,,737,
1982 JAN,,,789,,,,962,
1982 FEB,,,578,,,,872,
1982 MAR,,,646,,,,1106,
1982 APR,,,1071,,,,1671,
1982 MAY,,,1034,,,,1524,
1982 JUN,,,1069,,,,2261,
1982 JUL,,,1471,,,,2247,
1982 AUG,,,1629,,,,3268,
1982 SEP,,,1155,,,,2741,
1982 OCT,,,943,,,,2018,
1982 NOV,,,661,,,,1087,
1982 DEC,,,592,,,,854,
1983 JAN,,,723,,,,947,
1983 FEB,,,550,,,,875,
1983 MAR,,,740,,,,1156,
1983 APR,,,1023,,,,1616,
1983 MAY,,,988,,,,1646,
1983 JUN,,,1189,,,,2142,
1983 JUL,,,1697,,,,2677,
1983 AUG,,,1748,,,,3187,
1983 SEP,,,1269,,,,2711,
1983 OCT,,,1051,,,,2027,
1983 NOV,,,796,,,,1098,
1983 DEC,,,690,,,,912,
1984 JAN,,,745,,,,1035,
1984 FEB,,,580,,,,885,
1984 MAR,,,828,,,,1336,
1984 APR,,,1170,,,,1717,
1984 MAY,,,1096,,,,1828,
1984 JUN,,,1316,,,,2436,
1984 JUL,,,1763,,,,2480,
1984 AUG,,,2011,,,,3150,
1984 SEP,,,1406,,,,2968,
1984 OCT,,,1093,,,,2054,
1984 NOV,,,882,,,,1235,
1984 DEC,,,752,,,,950,
1985 JAN,,,817,,,,1043,
1985 FEB,,,652,,,,872,
1985 MAR,,,867,,,,1365,
1985 APR,,,1208,,,,1644,
1985 MAY,,,1282,,,,1651,
1985 JUN,,,1468,,,,2288,
1985 JUL,,,1819,,,,2277,
1985 AUG,,,2139,,,,3150,
1985 SEP,,,1447,,,,2830,
1985 OCT,,,1140,,,,2050,
1985 NOV,,,802,,,,1424,
1985 DEC,,,809,,,,1014,
1986 JAN,341,440,926,1144,259,420,1129,1878
1986 FEB,271,480,732,1195,237,410,1004,1743
1986 MAR,325,440,921,1139,400,510,1572,2014
1986 APR,372,460,1028,1116,367,480,1607,1944
1986 MAY,433,460,1125,1143,497,510,2116,2207
1986 JUN,473,430,1167,1090,593,510,2620,2065
1986 JUL,645,450,1680,1143,696,530,2865,2135
